mir-86,MIPF0000247
mir-241,MIPF0000248
mir-85,MIPF0000249
mir-84,MIPF0000250
mir-83,MIPF0000251
mir-11,MIPF0000252
mir-169_3,MIPF0000253
mir-316,MIPF0000254
mir-169_4,MIPF0000255
mir-244,MIPF0000256
mir-245,MIPF0000257
mir-80,MIPF0000258
mir-318,MIPF0000259
mir-246,MIPF0000260
mir-K12-10,MIPF0000261
mir-248,MIPF0000262
mir-249,MIPF0000263
mir-274,MIPF0000264
lsy-6,MIPF0000265
mir-50,MIPF0000266
mir-344,MIPF0000267
mir-51,MIPF0000268
mir-341,MIPF0000269
mir-55,MIPF0000270
mir-57,MIPF0000271
mir-77,MIPF0000272
mir-75,MIPF0000273
mir-149,MIPF0000274
mir-74,MIPF0000275
mir-73,MIPF0000276
mir-72,MIPF0000277
mir-71,MIPF0000278
mir-70,MIPF0000279
mir-268,MIPF0000280
mir-266,MIPF0000281
mir-58,MIPF0000282
mir-250,MIPF0000283
mir-251,MIPF0000284
mir-252,MIPF0000285
mir-253,MIPF0000286
mir-452,MIPF0000287
mir-374,MIPF0000288
mir-384,MIPF0000289
mir-403,MIPF0000290
mir-228,MIPF0000292
mir-67,MIPF0000293
mir-158,MIPF0000294
mir-64,MIPF0000295
mir-62,MIPF0000296
mir-61,MIPF0000297
mir-60,MIPF0000298
mir-259,MIPF0000299
mir-664,MIPF0000300
mir-35,MIPF0000302
lin-4,MIPF0000303
mir-39,MIPF0000304
mir-4,MIPF0000305
mir-230,MIPF0000306
mir-231,MIPF0000307
mir-304,MIPF0000308
mir-5,MIPF0000309
mir-254,MIPF0000310
mir-232,MIPF0000311
mir-233,MIPF0000312
mir-306,MIPF0000313
mir-234,MIPF0000315
mir-467,MIPF0000316
mir-548,MIPF0000317
mir-488,MIPF0000318
mir-491,MIPF0000319
mir-428,MIPF0000320
mir-BART17,MIPF0000321
mir-BART20,MIPF0000322
mir-169_5,MIPF0000323
mir-BART3,MIPF0000324
mir-BART1,MIPF0000325
mir-BART5,MIPF0000326
mir-BART15,MIPF0000327
mir-BART7,MIPF0000328
mir-423,MIPF0000329
mir-689,MIPF0000330
mir-BHRF1-1,MIPF0000331
mir-BHRF1-2,MIPF0000332
mir-652,MIPF0000333
mir-550,MIPF0000334
mir-BART12,MIPF0000335
mir-692,MIPF0000336
mir-684,MIPF0000337
mir-680,MIPF0000338
mir-757,MIPF0000339
mir-592,MIPF0000340
mir-456,MIPF0000341
mir-615,MIPF0000342
mir-806,MIPF0000343
mir-818,MIPF0000344
mir-812,MIPF0000345
mir-1219,MIPF0000346
mir-811,MIPF0000347
mir-820,MIPF0000348
mir-815,MIPF0000349
mir-821,MIPF0000350
mir-814,MIPF0000351
mir-807,MIPF0000352
mir-802,MIPF0000353
mir-770,MIPF0000355
mir-533,MIPF0000356
mir-668,MIPF0000357
mir-671,MIPF0000358
mir-1220,MIPF0000359
